mf_0,mf_1,mf_2,mf_3,mf_4,mf_5,mf_6,mf_7,mf_8,mf_9,mf_10,mf_11,mf_12,mf_13,mf_14,measure
-1.7935532,9.0912285,1.3881636,2.986049,0.32718697,2.5482228,5.4403,5.914087,5.28456,6.1979966,4.7021923,5.604448,3.0041158,2.859549,3.8800092,MCR
4.186134,-0.14640728,4.883429,6.377575,0.88901037,3.6972718,4.7746563,5.2602634,4.815766,6.1186333,4.788217,4.5538797,3.3496618,2.9523814,4.044223,MCR
-1.114983,4.517832,-0.6171189,4.6810393,1.1731104,6.048318,3.4879289,5.9427667,5.557687,5.9827266,4.887435,5.435233,4.5110407,2.6374052,4.038682,BR
3.9395611,-0.7965937,5.1780643,6.9215536,1.0101883,3.394663,4.831997,5.3931932,4.6189218,6.1418653,4.755765,4.403928,3.4037402,3.0522451,3.7922783,MCR
-1.522237,5.2582774,-1.1812805,4.0908475,0.9474667,6.1065726,3.0460694,6.0184517,5.719635,5.949723,4.9337955,5.686754,4.5610332,2.6066568,4.042652,SYM
-0.57080126,3.6951382,0.26645553,5.540103,1.469512,5.8502755,4.2707825,5.8469152,5.432176,6.061287,4.878499,5.205693,4.3734984,2.609229,4.061983,SYM
8.132451,2.2039511,4.775065,4.150473,0.68378115,4.874485,4.947587,4.839338,4.669759,5.7195663,4.441567,4.118203,4.232104,2.881376,3.7198608,SYM
-1.715136,5.002441,-1.1203909,4.716503,1.4641207,6.374929,3.762171,5.7502637,5.832431,5.88633,5.0313454,5.1709695,4.645608,2.3874388,4.121758,OS
-0.21537736,3.411389,0.7424371,5.7718163,1.5217471,5.647085,4.451426,5.8164062,5.344624,6.0562043,4.885087,5.155117,4.3035946,2.607412,4.063985,BR
-1.391504,5.171268,-0.9497073,4.1907034,1.0169369,5.957635,3.2199783,5.987674,5.654301,5.971071,4.9111314,5.5903997,4.4969006,2.6263924,4.041136,MCR
-1.7949797,5.9795685,-0.8012876,4.040439,1.0824094,5.514508,3.6702838,5.9494,5.7468853,6.052625,4.966198,5.489971,4.2366557,2.5035634,4.0635853,OS
-1.5313994,9.37717,4.285217,3.7751067,0.3492555,2.7983665,5.3700037,5.949351,5.0990434,6.2992344,5.044887,5.175918,3.3142772,3.0709052,3.845374,MCR
-1.9903816,7.316968,-0.22218172,3.2718298,0.9785345,4.5120234,3.9358032,5.883972,5.7731137,6.216142,4.691746,5.684136,3.9074697,2.682337,4.0859604,MCR
-1.5930573,9.111746,3.0477946,3.5064008,0.40733203,2.4419067,5.5767946,5.8503175,5.135424,6.263365,4.8336205,5.3104725,3.130603,3.0319896,3.846065,MCR
8.6303005,1.7300478,5.137923,3.6851287,0.5235707,4.7817674,5.169542,5.2469277,4.6570654,5.7044654,4.623145,4.343925,4.5809445,3.0619128,3.9629679,MCR
-1.561828,3.6968186,-0.7549232,5.726823,1.8487048,6.9679637,4.5187597,5.8207097,5.5905147,5.9046054,5.037716,4.781162,4.7338014,2.2928329,4.2537084,MCR
-1.551144,3.7258794,-0.74918044,5.6882577,1.8330781,6.9317036,4.485535,5.8152843,5.595511,5.8997927,5.0385356,4.789534,4.733362,2.2971916,4.2430677,MCR
0.94183725,0.8657626,2.0604296,7.475158,1.7047349,4.8249025,5.1976705,5.8394165,4.9000716,6.364178,4.655844,5.1477776,3.8043563,2.8181937,3.7251956,SYM
-1.5310265,9.099054,2.8476646,3.476735,0.4070308,2.4643276,5.649891,5.839011,5.215551,6.3820505,4.8269334,5.4241405,3.0256846,2.9647043,3.9226885,MCR
2.0342786,-0.7006429,3.372152,8.504387,1.9755028,4.110703,6.167984,6.3867526,4.322752,6.6418386,4.64744,5.1948476,3.26747,2.694952,3.7356045,MCR
11.853212,6.1693153,1.6041363,6.7547708,0.20713066,4.1994452,4.718857,5.4239964,4.42805,6.4152665,3.9707682,4.247558,4.5890117,3.080287,3.96748,BR
4.1590815,-0.16273032,4.8781714,6.4020853,0.90547836,3.6955411,4.7853227,5.2799172,4.8018327,6.1325817,4.77448,4.559871,3.3664756,2.9458864,4.0231013,MCR
-1.374557,3.9878142,-0.6088511,5.371727,1.6685615,6.570562,4.184874,5.789903,5.6372085,5.8641534,4.998479,4.9190254,4.730307,2.3793368,4.1824994,MCR
11.836268,6.8478456,1.4480361,6.8400764,0.155924,4.398773,4.44845,5.582279,4.1305466,6.446226,4.1356874,4.0232835,4.4792757,2.9077773,3.7805405,BR
8.435729,2.6256735,4.360673,4.5457926,0.69838864,4.4848595,4.763464,4.935595,4.585155,5.8086257,4.2740293,4.397612,4.135123,2.850924,3.415721,MCR
-1.8896447,6.777768,-0.72274864,3.5022476,0.89093333,4.9203553,3.5767667,6.0831294,5.660349,6.054608,4.943694,5.6068482,4.029367,2.5557857,4.0560474,BR
-1.765213,8.998105,1.0721503,2.8813992,0.24544212,2.8068743,5.452995,5.980057,5.4120755,6.2770996,4.5440197,5.767625,2.9207861,2.8311388,3.9784553,OS
6.8443894,1.3755139,4.8919826,4.436201,0.6922941,4.52581,5.1136923,5.270593,4.8392143,5.982139,4.540181,4.7240014,4.052857,2.8462677,3.9415624,MCR
-0.6232867,7.2955356,7.9039087,8.107967,1.4283719,6.782901,2.8206804,5.6724534,3.2426438,6.580055,5.4355817,4.9112773,5.6873193,2.8850868,4.0538373,MCR
3.4943097,1.9089258,3.4833412,5.6571665,1.1294969,4.832426,4.8371115,5.5369115,4.900781,6.1889024,4.5504856,5.0055885,3.9546664,2.6661987,3.8480792,BR
8.118968,2.2089543,4.7700963,4.1536665,0.68602365,4.881261,4.948604,4.8366446,4.670115,5.7203116,4.441128,4.114306,4.226392,2.8799005,3.719818,SYM
-1.4433451,8.985905,2.791128,3.5809188,0.41389382,2.6521327,5.6694646,5.8409405,5.2942677,6.5080204,4.84365,5.5135946,2.9815388,2.9177213,3.9964075,BR
7.2415876,1.3488553,5.1509194,4.1741896,0.6408702,4.5397243,5.2430515,5.361607,4.8816714,5.918747,4.6194806,4.736761,4.308284,2.9228044,4.02557,MCR
8.431704,2.6221735,4.396439,4.485479,0.699676,4.5459824,4.7794356,4.8863854,4.59201,5.8065014,4.310491,4.322353,4.1182404,2.8382611,3.4546175,MCR
0.7196981,0.85310173,1.6764585,8.548392,2.2374415,5.521292,6.534422,6.519638,4.3715234,6.564315,4.4994063,5.2810044,3.5512118,2.807903,4.3416786,MCR
0.76993537,0.72068805,1.7259324,8.694223,2.2481594,5.4684877,6.7358403,6.581199,4.313914,6.5709615,4.5114813,5.2831297,3.4783926,2.8132057,4.374125,MCR
0.44949883,3.0770154,1.9359463,6.4040437,1.4921582,5.1607757,5.2087216,6.014102,4.871678,6.2923956,4.795492,5.281209,3.7692308,2.7936604,3.9899082,BR
-1.7311114,5.8509564,-0.8727456,4.04687,1.0758575,5.5910797,3.5654972,5.9740725,5.7206,6.0192738,4.952608,5.500523,4.293844,2.5362365,4.066059,OS
8.419117,2.608556,4.416875,4.4591794,0.6975794,4.567845,4.788281,4.8720384,4.5976796,5.807932,4.324907,4.2979608,4.1140857,2.837263,3.4747708,MCR
4.440187,0.8173233,4.387576,5.428684,0.9128223,4.2151327,4.7760544,5.3421335,5.032402,6.3851147,4.6235957,5.0451384,3.4712148,2.596527,4.238074,MCR
12.320672,7.337994,1.0781265,7.357673,0.1082671,4.8986464,4.3620434,5.019054,4.070008,5.87,3.6595252,4.442222,4.564274,2.793806,3.3948674,SYM
3.4234576,1.9488832,3.441484,5.663175,1.1393882,4.8472786,4.836218,5.5481524,4.9016457,6.185871,4.554988,5.010263,3.9615788,2.6672401,3.8446789,BR
6.4654255,1.4774922,4.536159,4.562754,0.69314134,4.5767913,4.973669,5.0797315,4.7949047,6.0040855,4.4177256,4.699173,3.819786,2.784285,3.8030877,MCR
-1.3449986,4.1218624,-0.606867,5.223456,1.5750511,6.4576745,4.074436,5.7514424,5.6686683,5.8933454,5.0149946,5.0058365,4.67031,2.4459167,4.11454,BR
-1.3461134,3.8765285,-0.5748086,5.42223,1.6791627,6.543432,4.240526,5.794123,5.604269,5.911012,5.0198464,4.8823743,4.674137,2.3531966,4.1411624,SYM
0.3036252,1.2405899,1.3008182,8.587551,2.388751,5.888803,6.6503863,6.6459236,4.363149,6.6092954,4.5102735,5.355882,3.6568375,2.7825098,4.529991,MCR
0.8233311,0.9459299,1.913667,7.603272,1.7713311,4.993416,5.3807697,5.9339466,4.841331,6.3745866,4.6214223,5.161645,3.7593236,2.825242,3.7916439,BR
-1.9859931,7.3662496,-0.20425409,3.2424278,0.9738227,4.4638224,3.9471326,5.887152,5.7659225,6.217557,4.6950564,5.676459,3.8925498,2.680418,4.089988,MCR
7.8326917,1.9884357,4.6675243,4.450642,0.6262717,4.378946,4.8685727,5.1607757,4.6975207,5.872642,4.3120933,4.662191,4.211272,2.9719796,3.598805,BR
8.617548,2.790394,4.251647,4.6270614,0.733927,4.511718,4.7468624,4.9236693,4.548456,5.7701254,4.2461853,4.4019594,4.15054,2.8145208,3.341309,SYM
-1.7210829,7.388216,-0.43328136,2.9699023,0.7245608,4.3625026,3.7103434,6.111212,5.5317936,6.062612,4.9109626,5.6219177,3.8295524,2.6577578,4.0689135,MCR
8.370141,2.5634446,4.3825927,4.5510902,0.6859705,4.4507327,4.7666,4.9723897,4.596303,5.820006,4.261545,4.446608,4.146578,2.8740003,3.423844,MCR
0.431896,1.4096991,1.4898592,7.312945,1.8380677,5.327865,5.3278365,5.9756117,4.9080977,6.3766537,4.623029,5.1785865,3.7757738,2.827218,3.9063046,BR
5.0540876,1.0023466,4.4749675,5.1581273,0.80739176,4.315021,4.8352895,5.242596,4.95368,6.2622375,4.5614467,4.9405103,3.5886514,2.659033,4.0960226,SYM
8.167633,1.9133307,4.956351,4.108418,0.57804585,4.564424,4.9593177,5.112246,4.721964,5.7298512,4.415655,4.461713,4.463498,3.006722,3.7766714,BR
-0.07507652,3.320473,0.94390243,5.840221,1.5141702,5.5413904,4.5092134,5.8170147,5.29959,6.076307,4.871404,5.167046,4.248807,2.6319444,4.0427356,BR
0.47320348,3.4673529,1.9271407,5.936042,1.3368499,5.0273223,4.852415,5.8460717,4.993619,6.1543956,4.8714523,5.2115254,3.9720113,2.7252033,3.9390056,BR
4.3871536,0.8839922,4.3403955,5.293499,0.8363904,4.1866317,4.6796465,5.251402,5.122483,6.4794965,4.577484,5.1485767,3.3758793,2.4959948,4.3504143,BR
6.7898016,1.5706472,4.6657405,4.4510837,0.68844193,4.659787,5.020496,5.1025295,4.7747283,5.947641,4.4370294,4.598581,3.9290006,2.8179982,3.8151202,MCR
0.37239763,1.1694063,1.3632641,8.521939,2.3626988,5.8189945,6.445238,6.5993495,4.372563,6.612649,4.498835,5.360492,3.6644247,2.7875738,4.454613,MCR
11.844113,7.017341,1.358272,6.8388534,0.124315694,4.38755,4.3957014,5.664636,4.0878735,6.4186444,4.143374,3.910768,4.4730396,2.8946903,3.879643,BR
-0.6296075,7.1657243,7.6145835,7.878923,1.5688367,6.6103387,3.0666666,5.736574,3.2493787,6.6420755,5.5505943,4.773061,5.473043,2.821706,4.0606937,MCR
12.076534,6.9841285,1.2536185,7.0715933,0.107568175,4.6337924,4.42669,5.3557534,4.0803003,6.1779594,3.9150827,4.208315,4.5124125,2.8124783,3.6098561,MCR
6.884267,1.3765875,4.9163885,4.402612,0.6865025,4.537648,5.1274133,5.2743154,4.8411913,5.9729075,4.544591,4.720708,4.0765276,2.853427,3.9461925,MCR
